0,-1.1102e-16,-3.7007e-17,0,5.5511e-17,-1.8504e-17,2.379e-17,6.9389e-18,4.9343e-17,-1.1102e-17,3.0279e-17,0,1.708e-17,0,2.2204e-17,3.1919e-16,5.3766e-13,3.3806e-10,7.8569e-08,6.7662e-06,0.00021748,0.0026619,0.013078,0.02952
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.6653e-16,-1.1102e-16,-7.4015e-17,0,0,3.7007e-17,0,-1.3878e-17,0,0,-2.0186e-17,0,-1.281e-17,0,-1.4803e-17,3.1919e-16,5.3794e-13,3.3856e-10,7.8889e-08,6.8411e-06,0.000224,0.0028754,0.015805,0.043916
0,-5.5511e-17,-7.4015e-17,-5.5511e-17,-2.2204e-17,3.7007e-17,1.586e-17,0,1.2336e-17,2.2204e-17,3.0279e-17,0,8.5402e-18,7.9302e-18,1.4803e-17,6.245e-16,1.0753e-12,6.7611e-10,1.5714e-07,1.3533e-05,0.00043504,0.0053295,0.02632,0.06036
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.9429e-16,5.5511e-17,-2.7756e-17,-5.5511e-17,-2.2204e-17,0,0,-1.3878e-17,-1.2336e-17,0,0,0,8.5402e-18,7.9302e-18,0,9.5063e-16,1.6126e-12,1.0137e-09,2.3539e-07,2.0224e-05,0.00064594,0.0077715,0.036461,0.072662
-4.4409e-16,-5.5511e-17,0,0,8.8818e-17,-5.5511e-17,-1.586e-17,-1.3878e-17,0,-2.2204e-17,1.0093e-17,0,1.708e-17,7.9302e-18,-1.4803e-17,3.0531e-16,5.3824e-13,3.3907e-10,7.9209e-08,6.9154e-06,0.00023037,0.0030769,0.018153,0.053998
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.7756e-16,-2.7756e-17,-9.2519e-18,-5.5511e-17,-4.4409e-17,-9.2519e-18,-1.586e-17,0,0,1.1102e-17,-1.0093e-17,-1.8504e-17,0,0,0,9.5063e-16,1.6123e-12,1.0132e-09,2.3507e-07,2.0149e-05,0.00063964,0.0075762,0.034306,0.064835
-2.7756e-16,0,-5.5511e-17,2.7756e-17,0,-1.8504e-17,-3.1721e-17,0,-2.4672e-17,1.1102e-17,0,0,0,0,-7.4015e-18,3.0531e-16,5.3763e-13,3.3806e-10,7.857e-08,6.7668e-06,0.00021763,0.002674,0.013458,0.033829
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.6653e-16,1.6653e-16,1.8504e-17,8.3267e-17,-1.1102e-17,-1.8504e-17,-1.586e-17,0,-2.4672e-17,1.1102e-17,1.0093e-17,2.7756e-17,1.708e-17,7.9302e-18,1.4803e-17,6.3838e-16,1.075e-12,6.7561e-10,1.5682e-07,1.3458e-05,0.0004286,0.005122,0.02378,0.048028
